Playlist Name,Video Name,Video URL,Duration,Preview Image
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 36 (Anime & Music Name Included),https://www.youtube.com/watch?v=6kkeytzIFKA,PT9M5S,https://i.ytimg.com/vi/6kkeytzIFKA/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 35 (Anime & Music Name Included),https://www.youtube.com/watch?v=ECPwsf5w6sg,PT11M37S,https://i.ytimg.com/vi/ECPwsf5w6sg/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 34 (Anime & Music Name Included),https://www.youtube.com/watch?v=DZ2U7oSUR64,PT9M13S,https://i.ytimg.com/vi/DZ2U7oSUR64/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 33 (Anime & Music Name Included),https://www.youtube.com/watch?v=sPKKIL-Cwy8,PT10M21S,https://i.ytimg.com/vi/sPKKIL-Cwy8/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 32 (Anime & Music Name Included),https://www.youtube.com/watch?v=95D2H_yJNCA,PT9M55S,https://i.ytimg.com/vi/95D2H_yJNCA/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 31 (Anime & Music Name Included),https://www.youtube.com/watch?v=Fhp9xYble0k,PT10M2S,https://i.ytimg.com/vi/Fhp9xYble0k/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 38 (Anime & Music Name Included),https://www.youtube.com/watch?v=ddqI0qUW7GA,PT11M51S,https://i.ytimg.com/vi/ddqI0qUW7GA/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 37 (Anime & Music Name Included),https://www.youtube.com/watch?v=x4_Ys38bo-c,PT13M23S,https://i.ytimg.com/vi/x4_Ys38bo-c/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 41 (Anime & Music Name Included),https://www.youtube.com/watch?v=A0cSIyllNYY,PT10M53S,https://i.ytimg.com/vi/A0cSIyllNYY/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments TikTok Compilation Pt. 42 (Anime & Music Name Included),https://www.youtube.com/watch?v=eSh0eBuQDw4,PT12M41S,https://i.ytimg.com/vi/eSh0eBuQDw4/hqdefault.jpg
